station_id,num_bikes_available_mean,mechanical_available,ebike_available,num_docks_available_mean,num_docks_available_max,is_charging_station,status,is_installed,is_renting,is_returning,ttl,checkouts_hour_station,temperature,precipitation,wind_speed,weather_category,day_of_week,hour_of_day,month,checkouts_hour_station_lag1,checkouts_hour_station_lag24,lat,lon,address
438,10.416666666666666,5.0,5.416666666666667,12.0,12,True,IN_SERVICE,1,1,1,0,4,0.0,0.0,9.4,clear,0,1,1,5.0,4.0,41.3981669,2.1754896,"C/ NÀPOLS, 183"
443,2.272727272727273,2.0,0.2727272727272727,29.727272727272727,30,True,IN_SERVICE,1,1,1,0,0,14.0,0.0,5.4,cloudy,6,1,11,6.0,9.0,41.3887127,2.1542277,"C/ CASANOVA, 139"
24,17.75,10.666666666666666,7.083333333333333,19.25,30,True,IN_SERVICE,1,1,1,0,8,16.0,0.0,11.2,clear,4,13,11,6.0,0.0,41.4005784,2.1788855,"C/ MARINA, 199"
80,3.8333333333333335,1.0833333333333333,2.75,15.916666666666666,19,True,IN_SERVICE,1,1,1,0,16,19.0,0.7,9.4,storm,3,14,11,14.0,8.0,41.389668,2.1599078,"C/ ENRIC  GRANADOS, 35"
29,4.0,1.0,4.25,16.166666666666668,17,True,IN_SERVICE,1,1,1,1,9,24.0,0.0,3.6,clear,1,23,8,7.0,4.0,41.401061,2.169941,"C/ PROVENÇA, 388-390"
443,10.666666666666666,7.666666666666667,3.0,17.833333333333332,20,True,IN_SERVICE,1,1,1,0,7,13.0,0.0,9.4,clear,4,7,10,11.0,6.0,41.3887127,2.1542277,"C/ CASANOVA, 139"
112,12.0,5.416666666666667,6.583333333333333,8.0,9,True,IN_SERVICE,1,1,1,0,1,11.0,0.0,2.0,cloudy,6,6,12,1.0,5.0,41.3776721,2.157233,"C/ FLORIDABLANCA, 49"
390,21.416666666666668,20.333333333333332,1.0833333333333333,2.6666666666666665,5,True,IN_SERVICE,1,1,1,0,6,23.0,,5.4,clear,6,22,9,6.0,6.0,41.3869612,2.1820169,"C/ COMERÇ, 36"
359,15.416666666666666,14.0,1.4166666666666667,7.833333333333333,8,True,IN_SERVICE,1,1,1,0,3,3.0,0.0,3.6,clear,1,0,12,4.0,5.0,41.3900544,2.1775594,"C/ MÉNDEZ NÚÑEZ, 16"
73,4.166666666666667,0.25,3.9166666666666665,15.083333333333334,20,True,IN_SERVICE,1,1,1,0,19,22.0,0.0,13.0,clear,4,13,10,7.0,16.0,41.392135,2.1563542,"C/ ENRIC GRANADOS, 93"
510,1.5,0.6666666666666666,0.8333333333333334,22.5,23,True,IN_SERVICE,1,1,1,1,1,17.0,0.0,3.6,clear,2,4,9,0.0,4.0,41.3989151,2.1564253,"C/ GRAN DE GRÀCIA, 37"
94,31.5,16.666666666666668,14.833333333333334,14.5,16,True,IN_SERVICE,1,1,1,0,2,9.0,,7.6,cloudy,3,6,12,2.0,2.0,41.3757914,2.1499102,"GRAN  VIA DE LES CORTS CATALANES, 375-385"
61,1.75,0.1666666666666666,1.5833333333333333,16.25,17,True,IN_SERVICE,1,1,1,0,3,26.0,0.0,11.2,clear,2,20,8,0.0,7.0,41.39352,2.166797,"C/ ARAGÓ, 288"
148,17.25,14.583333333333334,2.6666666666666665,5.833333333333333,7,True,IN_SERVICE,1,1,1,0,0,10.0,0.0,6.0,cloudy,3,1,11,2.0,3.0,41.3783467,2.1633139,"RONDA SANT PAU, 79"
106,1.75,0.5833333333333334,1.1666666666666667,13.666666666666666,15,True,IN_SERVICE,1,1,1,0,5,22.0,0.0,9.4,cloudy,4,23,9,5.0,3.0,41.4055198,2.1622548," PL  JOANIC - C / BRUNIQUER, 59"
148,5.666666666666667,4.25,1.4166666666666667,18.333333333333332,21,True,IN_SERVICE,1,1,1,0,6,22.0,0.4,18.4,storm,3,14,9,8.0,8.0,41.3783467,2.1633139,"RONDA SANT PAU, 79"
